#OTU ID	co14c6	co14c4	co14c9	co16-2	conps1-5	co14c8	co14-5	co14-2	co14-4	co12g-3	co12-12	co12exp2	co12-5	co12-11	co12-4	conps1g-3	co12g-2	co16-1	co12g-6	co12g-1	conps2g-5	conps1g-5	co12-2	co14-6	co12g-8	conps1g-2	conps1-4	co12-6	conps1g-1	co16-11	co16-12	co14c11	co12-3	co12-1	co12exp5	conps1-1	conps1-2	co12exp3	conps2g-7	co12g-5	conps1-3	co16-10	co14-1	co14c7	co14c3	co14c1	co12g-4	conps2-3	co12exp4	conps2g-3	conps1-10	conps1-12	conps2-2	co12exp11	co12g-9	co14-11	conps2-8	conps2g-1	co12g-7	co12-10	co14c5	conps1g-6	conps2g-2	conps2g-4	conps2-1	conps2g-8	co12exp1	conps1-6	co12exp6	co14c2	conps1g-4	conps1g-8	conps2g-9	co14-12	conps1g-9	co16-4	co16-5	co12exp10	co12exp12	co14-10	co14-3	PC-fungal	conps2-7	co14c12	conps2g-6	co16-3	conps1g-7	co16-6	conps2-9	conps1-11	NC-fungal	co14c10	taxonomy
denovo0	19.0	13.0	7.0	3.0	6.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Rhizaria(0.7900),p:Cercozoa(0.7900)
denovo4	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	43.0	78.0	11.0	12.0	4.0	10.0	4.0	8.0	5.0	4.0	21.0	1.0	2.0	3.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Russulales(0.9500),f:Peniophoraceae(0.5500),g:Peniophora(0.3700),s:Peniophora_incarnata_SH188993.07FU(0.1300)
denovo10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(0.9900),p:Ascomycota(0.3900),c:Agaricomycetes(0.3000),o:Symbiotaphrinales(0.2100),f:Symbiotaphrinaceae(0.2100),g:Symbiotaphrina(0.2100),s:Symbiotaphrina_buchneri_SH643910.07FU(0.1300)
denovo11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Trechisporales(1.0000),f:Hydnodontaceae(0.9700)
denovo12	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Aphelidiomycota(1.0000),c:Aphelidiomycetes(1.0000),o:GS16(1.0000)
denovo13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(0.9800),o:Polyporales(0.9600),f:Hyphodermataceae(0.9600),g:Hyphoderma(0.9600),s:Clitocybe_brunneocaperata_SH218352.07FU(0.0100)
denovo15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(0.6400),c:Agaricomycetes(0.4500),o:Agaricales(0.1900),f:Pucciniaceae(0.0700),g:Gloeostereum(0.0600),s:Gloeostereum_incarnatum_SH487690.07FU(0.0600)
denovo16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	50.0	0.0	1541.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000)
denovo17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Wallemiomycetes(1.0000),o:Wallemiales(1.0000),f:Wallemiaceae(1.0000),g:Wallemia(1.0000),s:Wallemia_mellicola_SH128180.07FU(0.7300)
denovo18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Agaricales(1.0000),f:Tricholomataceae(1.0000),g:Delicatula(1.0000),s:Delicatula_integrella_SH190595.07FU(1.0000)
